ART_TOT;ART_PRM;ART_FOOD_PRM;ART_FOOD;ART_LEADER;ART_FOLLOWER;ART_FLINE;ART_EXLAB;ART_PRIVLAB
81;13;13;73;11;50;0;0;11
51;10;0;21;6;12;0;3;3
17;4;1;13;4;8;0;0;1
28;10;10;24;3;19;0;0;1
29;7;5;22;6;15;0;1;1
79;25;20;58;17;36;0;9;3
127;32;32;119;39;55;10;4;14
8;0;0;6;2;3;0;0;1
68;14;13;65;34;19;2;2;8
164;60;57;133;29;72;10;7;21
50;19;19;49;14;33;0;0;2
16;7;7;15;0;14;0;0;0
11;3;2;6;0;3;0;0;2
54;18;15;42;8;27;1;3;6
57;12;9;44;11;29;0;2;4
3;1;0;0;0;0;0;1;0
14;5;3;5;0;4;0;0;1
135;40;31;99;32;61;1;5;3
8;0;0;4;2;1;0;1;1
100;20;16;80;28;42;5;0;5
8;0;0;6;3;2;0;0;1
43;14;5;19;6;8;1;10;3
85;18;15;66;24;30;3;2;4
3;1;0;0;0;0;0;0;0
117;24;23;94;27;46;2;6;14
207;57;53;182;70;83;0;3;27
5;0;0;1;0;0;0;0;1
7;3;0;1;0;0;0;0;1
50;13;13;50;14;33;1;0;2
12;4;3;9;6;2;0;0;0
13;0;0;2;0;1;0;1;1
12;7;7;10;3;7;0;0;0
473;92;79;336;109;188;12;17;27
123;42;35;101;25;53;5;6;15
1;0;0;0;0;0;0;0;0
219;21;20;162;45;95;5;3;13
1;0;0;0;0;0;0;1;0
37;10;8;19;7;11;0;0;0
33;7;1;9;2;6;0;1;1
162;28;26;132;44;68;7;1;12
237;58;47;166;68;93;1;14;6
122;15;13;85;27;49;1;3;8
42;12;11;34;7;14;6;0;7
127;45;37;86;18;59;3;2;6
129;33;28;92;20;50;9;7;7
38;4;4;29;13;15;0;0;1
56;22;19;36;10;21;3;6;2
295;66;51;221;89;96;7;15;22
168;51;33;99;25;53;9;6;11
5;5;5;5;0;5;0;0;0
8;4;4;5;0;4;0;0;1
15;0;0;13;0;11;0;0;2
300;65;59;247;104;108;11;4;22
502;66;64;485;120;250;21;17;58
13;5;5;12;1;11;0;0;0
39;5;3;37;12;20;0;1;3
43;14;9;18;5;8;1;3;3
33;7;6;28;11;12;2;2;3
50;18;16;39;14;23;1;0;1
249;38;30;199;53;116;3;6;26
117;19;13;65;18;39;0;16;8
22;1;1;21;5;10;0;0;6
112;19;11;70;22;35;2;8;8
26;16;16;22;3;18;0;1;1
72;16;9;42;5;34;0;8;3
43;11;11;31;9;19;1;0;4
12;2;1;4;2;0;0;0;2
1;0;0;0;0;0;0;0;0
25;6;4;20;6;8;5;0;1
17;0;0;13;2;11;0;1;0
6;0;0;3;0;2;0;0;1
123;24;23;106;24;74;0;6;7
427;73;69;366;79;212;17;10;48
2;1;0;0;0;0;0;0;0
12;4;4;9;5;4;0;0;0
76;17;10;40;11;26;2;2;1
4;2;1;2;0;2;0;0;0
15;3;0;11;2;7;0;0;1
18;2;1;13;3;7;1;0;2
21;10;8;16;3;11;0;1;2
3;0;0;1;0;0;0;0;1
62;16;14;49;21;22;3;2;3
27;9;8;25;6;14;3;1;2
128;48;47;117;34;58;9;3;9
677;105;70;465;127;290;8;11;38
24;9;7;13;3;7;3;1;0
101;11;2;28;18;7;0;5;3
679;213;211;651;131;336;56;4;114
26;3;3;22;3;13;0;0;6
2;0;0;0;0;0;0;0;0
77;22;17;67;21;32;8;1;6
624;145;133;559;224;255;14;12;48
16;2;2;15;1;9;1;0;4
26;5;0;5;5;0;0;4;0
41;11;10;37;11;14;5;1;6
