ART_TOT;ART_PRM;ART_FOOD_PRM;ART_FOOD;ART_LEADER;ART_FOLLOWER;ART_FLINE;ART_EXLAB;ART_PRIVLAB
16;1;1;13;0;10;0;0;3
99;11;9;87;34;37;4;1;13
17;3;3;10;3;7;0;1;0
142;31;30;117;30;46;8;4;33
33;11;10;32;2;12;2;0;14
103;15;12;71;20;38;3;1;10
209;56;55;193;47;76;26;4;32
704;210;195;563;178;335;4;15;39
329;52;52;297;120;129;13;10;28
2;1;0;0;0;0;0;0;0
192;54;40;147;51;66;7;5;18
93;17;17;88;23;39;3;1;17
172;88;83;144;48;67;7;8;9
5;0;0;3;0;2;0;0;1
77;9;9;77;32;33;7;0;5
47;21;21;47;9;31;0;1;4
29;5;5;24;6;13;1;1;3
2;0;0;0;0;0;0;0;0
10;1;1;8;3;5;0;0;1
76;10;10;74;5;64;0;0;5
618;232;217;560;208;261;30;10;51
83;10;10;75;18;46;2;1;7
414;107;84;333;103;171;11;6;45
21;1;1;16;6;7;0;0;4
59;8;7;50;12;27;3;0;9
103;13;11;86;48;33;2;0;5
11;3;0;4;1;2;0;0;1
86;0;0;72;26;42;3;0;3
30;5;5;23;7;6;3;0;7
35;9;8;31;10;13;2;0;5
301;96;86;249;89;114;7;9;32
183;31;22;144;36;86;2;5;17
43;7;7;40;15;17;1;0;3
2;1;0;0;0;0;0;0;0
14;3;3;13;3;9;0;0;1
46;11;5;35;13;14;1;0;7
82;14;10;73;22;40;4;0;6
488;56;45;417;123;204;18;10;58
321;104;95;284;78;130;40;8;32
5;0;0;2;0;1;0;0;1
95;17;13;77;35;32;2;1;8
186;45;43;172;49;85;14;3;20
151;34;32;129;43;56;13;1;16
40;9;8;21;9;11;1;1;1
178;39;33;149;50;64;13;8;16
62;6;2;25;1;14;3;5;6
90;35;34;84;26;43;5;0;9
54;5;5;50;25;21;2;1;2
170;30;29;146;59;73;5;1;11
13;3;3;13;3;4;2;0;4
93;33;32;86;27;47;4;0;9
368;56;55;330;98;179;15;1;37
36;14;4;19;1;15;2;1;1
72;14;10;39;7;31;0;7;1
73;15;15;68;27;33;0;0;7
176;30;22;113;44;58;2;3;9
413;49;46;303;103;166;7;22;24
156;34;26;111;40;58;3;1;10
115;24;24;108;61;40;3;1;3
18;8;7;17;4;6;2;2;3
6;0;0;5;3;2;0;0;0
28;4;3;22;6;12;0;0;2
303;185;172;247;111;128;2;8;4
30;6;5;22;8;14;0;1;1
98;1;0;63;7;32;16;5;5
80;15;15;74;45;27;1;0;1
300;53;46;245;88;119;11;8;22
254;52;40;217;43;97;40;0;25
3;0;0;3;0;2;0;0;1
59;17;12;34;9;19;1;0;4
97;21;21;97;28;45;9;0;11
20;14;14;14;2;12;0;2;0
384;94;86;297;71;160;8;17;55
310;50;44;266;83;128;10;5;39
670;342;318;567;184;289;21;15;54
45;8;6;35;5;13;4;1;13
68;2;2;61;18;34;5;0;5
7;6;6;7;0;0;0;0;6
44;6;4;23;9;11;0;2;2
23;3;2;19;6;8;1;0;4
19;4;4;19;9;5;3;0;2
2;1;0;0;0;0;0;0;0
12;0;0;10;3;7;0;0;0
37;6;6;36;8;20;0;1;8
7;1;1;2;2;0;0;1;0
282;44;30;164;38;106;6;12;16
10;1;0;2;0;0;0;1;2
550;115;101;390;113;222;15;15;26
540;105;96;456;113;236;38;17;59
24;5;3;21;7;13;0;0;1
580;148;141;518;140;271;28;17;64
25;3;1;13;3;10;1;0;0
801;119;114;785;311;328;34;2;89
27;6;6;26;6;6;5;0;9
292;96;92;259;71;153;9;7;20
4;1;0;2;0;2;0;0;0
536;165;165;528;130;265;42;6;69
4;0;0;3;1;1;1;0;0
14;1;1;11;4;5;0;0;2
5;3;1;1;0;1;0;0;0
369;87;76;319;96;187;9;5;27
145;34;27;122;19;83;10;0;9
365;73;67;332;88;152;28;6;55
19;6;2;9;3;6;0;0;1
257;71;70;247;68;139;8;8;17
15;1;1;11;4;5;0;0;2
471;151;151;457;155;204;26;5;62
61;12;11;53;24;17;5;3;4
49;9;8;34;8;6;9;1;10
39;7;3;14;0;13;0;4;1
115;27;27;96;23;56;9;2;6
296;134;125;252;61;136;14;4;34
132;41;37;116;39;53;10;2;12
61;7;6;53;14;20;6;2;12
63;12;11;51;13;24;4;3;7
351;67;64;283;62;142;32;1;45
12;5;5;12;2;10;0;0;0
85;18;5;34;9;14;3;6;9
6;2;0;1;0;0;0;2;1
183;50;45;152;26;70;26;7;27
76;8;7;58;11;33;0;0;14
12;0;0;6;3;4;0;0;0
363;121;117;329;108;139;27;3;40
520;148;136;465;169;232;13;2;49
86;13;10;63;15;31;11;3;6
96;20;18;79;20;40;6;1;12
174;36;36;170;52;93;5;2;18
18;6;2;11;3;5;1;1;2
128;21;18;113;39;60;5;3;10
19;0;0;12;3;7;1;0;1
54;22;18;46;7;26;2;0;9
184;49;47;171;29;84;13;1;40
71;19;15;61;18;32;1;0;9
132;37;36;114;28;56;12;1;18
95;15;12;69;11;51;0;2;4
55;8;5;44;17;20;2;1;4
50;13;12;43;20;19;0;1;4
465;114;101;344;97;200;6;11;30
10;0;0;8;4;4;0;0;0
25;4;2;20;5;14;0;0;1
306;125;115;262;93;119;32;13;16
16;3;3;16;5;7;1;0;3
126;19;17;99;32;53;4;2;7
115;34;32;106;40;37;11;5;13
169;33;32;164;74;52;12;6;16
39;2;2;28;5;18;0;0;5
611;174;163;541;109;287;42;10;84
213;37;23;108;34;60;2;6;11
188;70;63;162;44;94;6;1;17
3;0;0;0;0;0;0;1;0
186;40;39;177;52;86;13;1;25
181;87;85;164;59;63;6;4;33
32;14;12;28;5;20;1;1;2
6;1;0;1;0;0;0;0;1
126;28;25;102;32;39;11;6;18
75;21;20;66;13;42;2;0;7
16;2;2;16;5;10;0;0;1
80;33;32;77;20;34;9;0;9
91;18;13;51;6;30;5;2;9
172;36;29;133;56;67;1;3;8
52;21;19;42;11;22;6;1;3
41;11;10;37;15;13;2;0;4
523;168;158;430;114;220;20;12;74
307;69;59;241;60;119;6;5;50
98;23;22;92;32;54;4;0;1
78;21;20;70;21;38;6;2;4
59;8;8;56;6;34;3;0;12
12;2;2;11;3;7;0;0;1
14;3;3;13;3;7;0;0;2
154;50;45;131;39;71;7;3;10
73;40;40;73;23;39;4;4;2
33;6;5;20;5;8;4;0;3
48;14;10;31;4;21;1;0;3
124;25;23;106;21;57;6;5;17
204;40;39;194;69;95;8;2;19
169;19;18;136;30;69;1;3;33
122;20;17;104;26;43;24;0;10
173;16;13;102;40;54;0;2;11
306;39;31;255;77;152;11;4;13
174;54;51;154;65;84;1;0;4
22;5;4;17;3;14;0;0;0
48;15;14;44;10;23;2;0;8
20;7;7;14;5;9;0;0;0
36;5;5;31;8;16;0;0;7
68;10;8;54;19;23;3;1;7
38;3;3;14;2;5;1;3;5
212;43;43;205;65;110;8;2;18
112;12;12;103;23;64;5;2;10
110;22;21;105;31;65;4;0;5
56;14;12;48;13;27;0;3;4
6;2;2;6;2;3;1;0;0
9;4;4;8;1;5;1;0;1
223;28;26;195;70;102;3;2;19
275;87;81;245;99;124;5;4;9
10;1;0;8;1;7;0;1;0
34;8;8;26;6;12;3;0;5
38;26;25;29;10;18;1;1;0
30;9;8;25;7;14;1;0;4
7;0;0;4;0;4;0;1;0
200;60;56;167;70;82;3;1;13
149;32;19;85;29;45;0;7;8
110;16;13;91;32;35;6;1;16
398;143;137;360;104;164;23;4;55
240;101;92;199;65;96;13;4;21
75;12;11;61;24;27;5;1;5
64;13;10;40;9;27;4;1;3
13;2;1;4;2;1;1;0;0
80;32;29;73;27;33;6;1;7
9;2;2;9;1;4;1;0;3
100;27;20;88;34;40;4;0;9
264;80;64;204;63;108;10;7;19
663;137;130;541;215;233;22;11;62
82;11;10;63;37;19;0;1;6
2;0;0;0;0;0;0;0;0
380;54;45;301;88;176;2;13;35
45;0;0;38;10;25;1;2;2
34;5;5;29;5;19;2;0;3
21;3;2;10;5;4;0;2;1
719;190;185;669;208;313;45;10;83
225;53;43;163;52;101;2;1;10
161;20;19;136;32;86;4;2;15
44;14;14;40;7;23;5;0;5
506;89;77;367;124;181;7;4;66
57;7;7;54;22;24;3;1;4
41;4;4;34;9;23;1;0;1
35;3;2;21;7;12;1;0;1
6;1;0;2;2;0;0;2;0
350;54;53;333;162;90;27;4;46
544;138;99;390;112;194;31;23;50
19;2;2;18;2;6;3;0;5
82;14;14;73;16;38;3;0;13
519;122;114;459;142;235;13;4;64
1;0;0;0;0;0;0;0;0
242;101;96;208;86;109;2;5;8
34;11;10;25;4;18;0;0;3
69;23;23;67;17;38;3;1;7
3;2;0;0;0;0;0;2;0
27;10;10;25;7;9;3;1;5
86;21;19;71;15;51;3;1;2
731;201;156;543;225;256;10;21;48
24;5;3;13;2;8;1;0;4
198;85;75;154;57;90;1;0;4
68;19;14;53;27;23;1;2;1
31;1;1;17;1;12;3;1;1
335;56;54;307;66;174;19;12;28
187;35;23;121;19;90;2;13;10
257;66;63;224;102;80;10;9;25
36;7;2;27;8;14;3;0;3
35;8;8;29;13;12;3;1;0
8;1;1;3;1;1;1;0;0
15;4;3;7;4;2;0;1;1
172;28;26;159;36;68;21;1;24
51;8;7;43;12;27;0;1;4
55;7;6;35;6;20;2;2;7
330;95;88;275;66;144;14;0;48
24;7;5;10;2;7;0;3;1
80;15;15;75;27;30;3;2;15
143;23;21;93;22;56;3;6;12
39;4;4;38;11;15;0;1;10
807;284;262;708;282;308;10;20;81
394;190;179;348;161;140;22;9;16
32;1;0;9;7;1;0;2;2
183;81;77;168;42;80;31;2;4
142;42;37;126;43;72;1;1;11
13;6;0;2;0;2;0;2;0
475;410;406;459;165;275;11;1;4
14;6;3;9;0;6;1;0;2
12;1;0;0;0;0;0;3;0
202;110;103;178;43;100;8;11;19
206;52;49;176;58;94;2;1;17
901;296;281;773;264;328;39;12;118
54;5;5;53;12;20;12;1;8
56;11;9;50;28;19;0;0;3
40;19;18;26;5;20;1;2;1
215;66;60;187;39;131;8;5;6
4;0;0;0;0;0;0;2;0
42;15;8;25;4;10;1;3;8
430;150;143;376;109;182;16;5;63
60;8;8;45;10;23;2;1;9
73;19;15;50;13;29;2;0;7
126;28;16;78;22;49;1;3;7
8;0;0;7;3;2;0;0;2
77;16;9;59;16;29;7;0;9
90;15;10;55;26;23;2;2;4
51;9;9;48;17;21;1;2;8
209;36;28;166;60;72;9;5;21
39;7;2;16;2;11;0;5;3
44;5;5;32;7;20;3;1;2
96;29;22;84;18;44;10;0;11
31;4;3;15;3;9;1;1;2
323;59;48;259;93;106;14;8;40
114;11;9;81;29;29;15;2;8
160;37;28;101;37;51;7;7;5
257;44;38;220;83;119;5;4;12
345;84;72;263;64;137;20;10;33
48;7;7;41;9;18;7;0;6
11;3;3;11;3;1;3;0;4
393;83;66;309;149;119;4;12;31
6;0;0;6;3;2;0;0;1
101;28;15;53;20;25;2;4;6
698;204;199;679;175;384;32;4;74
537;166;164;507;171;222;40;5;62
54;6;6;33;11;16;0;1;3
20;6;6;14;0;6;0;0;7
373;68;64;331;70;208;12;7;35
71;8;3;21;1;15;3;6;2
48;11;10;43;17;14;3;1;7
51;11;8;39;15;18;3;0;2
5;1;1;5;3;2;0;0;0
794;238;217;672;195;308;50;21;102
44;14;5;29;13;12;0;6;2
52;4;3;42;4;32;1;1;4
285;90;90;260;53;168;7;7;25
317;79;75;293;93;158;12;6;22
688;177;152;568;171;259;44;14;85
32;13;0;1;0;1;0;2;0
42;8;7;32;6;13;5;1;6
238;29;17;74;9;58;5;21;3
40;2;2;22;7;12;0;0;2
122;24;23;103;29;66;2;2;5
39;11;6;19;6;6;2;3;2
6;0;0;3;2;0;0;0;1
46;10;10;38;12;17;0;1;8
83;43;42;69;31;31;2;1;5
392;106;91;300;108;163;14;11;13
126;31;25;90;33;37;10;3;11
118;6;6;115;22;54;16;2;20
29;0;0;28;22;3;0;0;3
6;0;0;6;0;5;0;0;1
1002;223;210;916;294;435;68;10;91
389;55;48;358;109;165;30;6;45
55;19;18;43;9;25;6;1;3
551;67;55;363;108;212;8;10;35
39;9;8;37;6;17;3;0;11
5;0;0;1;0;1;0;1;0
137;16;11;100;20;62;1;2;16
164;28;25;146;42;83;5;4;11
209;38;24;131;52;62;4;5;13
3;0;0;0;0;0;0;0;0
754;111;100;671;267;324;18;5;67
88;16;15;68;27;31;3;0;7
1;0;0;0;0;0;0;0;0
200;40;30;154;64;61;11;4;18
116;43;29;86;17;43;9;2;15
71;25;22;65;24;38;1;0;0
74;15;13;63;15;30;6;2;9
20;4;0;2;0;1;0;1;1
5;0;0;2;0;1;0;1;1
84;39;38;81;26;39;2;1;12
49;5;5;35;10;20;0;2;4
8;1;1;8;0;5;1;0;2
15;9;8;11;5;3;0;0;3
85;11;7;69;22;41;0;2;5
233;52;49;204;72;96;7;2;22
21;4;3;14;0;14;0;0;0
270;31;24;192;88;100;4;6;2
242;62;55;203;56;117;8;4;14
9;5;5;9;0;8;0;0;1
50;11;10;48;15;25;3;0;5
33;1;1;25;8;14;0;2;2
173;45;42;138;33;79;6;3;18
117;27;23;83;36;42;2;7;4
153;22;21;108;32;49;5;1;21
502;146;143;454;175;213;16;2;49
301;64;63;276;84;139;15;3;30
66;12;6;33;9;20;1;2;2
230;40;39;191;53;107;13;4;14
194;33;33;172;36;104;12;4;19
59;24;22;55;16;31;2;2;3
257;50;50;229;79;109;12;4;24
28;5;3;17;3;12;0;0;2
707;188;156;583;146;275;44;14;103
416;98;85;358;149;152;15;4;38
114;21;12;60;15;29;2;6;12
78;18;8;35;11;17;1;7;7
43;4;2;9;1;6;1;4;1
136;36;25;95;25;42;12;1;16
21;4;3;9;1;6;0;2;2
59;14;14;52;9;36;0;0;7
71;19;16;46;10;34;0;2;2
41;10;5;27;8;14;3;0;4
66;4;2;30;8;18;0;6;4
7;2;2;7;0;4;1;0;2
38;2;0;3;0;1;1;0;1
1;0;0;0;0;0;0;0;0
56;10;9;45;18;21;1;4;5
50;7;4;40;9;25;0;2;4
9;0;0;0;0;0;0;0;0
50;9;4;29;5;16;0;1;6
239;38;37;224;75;119;6;4;21
779;138;132;689;258;355;13;5;44
1;0;0;0;0;0;0;0;0
42;14;12;31;9;21;0;1;2
50;7;7;49;11;29;3;1;4
1;1;0;0;0;0;0;1;0
286;65;57;247;71;152;1;5;19
112;21;14;76;22;46;2;5;7
7;2;1;4;0;3;0;1;1
18;5;5;15;7;5;1;0;1
32;4;4;28;5;19;0;1;2
83;11;9;68;22;26;3;5;18
42;16;1;6;1;4;0;3;1
25;6;3;16;1;10;2;0;3
217;41;33;137;56;72;2;2;6
33;4;3;28;9;16;1;1;2
63;11;9;32;10;17;4;1;3
3;0;0;1;1;0;0;0;0
15;3;2;12;4;7;0;0;1
18;4;4;16;6;7;2;0;1
102;39;32;88;31;41;6;2;4
83;18;17;79;29;35;4;0;8
208;63;58;175;56;95;12;4;9
153;32;27;126;45;73;3;0;6
233;54;38;159;40;89;7;7;12
106;22;20;94;12;60;2;10;6
73;27;19;39;5;28;0;8;2
26;5;5;23;6;10;2;0;5
98;26;17;72;12;35;7;3;16
54;16;12;23;2;18;0;5;3
372;75;65;308;69;151;32;6;44
418;85;65;364;76;258;5;2;19
5;0;0;0;0;0;0;0;0
363;61;61;338;121;191;2;3;21
22;1;1;19;3;15;0;0;1
30;6;1;20;9;8;2;0;1
1;0;0;0;0;0;0;0;0
52;14;12;40;21;17;0;3;2
4;0;0;0;0;0;0;0;0
68;9;8;53;19;27;0;0;5
61;15;13;43;12;27;0;0;2
20;9;4;7;0;3;0;8;2
67;15;11;48;17;24;2;0;4
55;17;5;24;0;19;1;2;1
79;16;8;29;7;17;2;10;3
50;8;6;28;12;13;1;3;2
1;1;1;1;0;1;0;0;0
13;4;2;4;0;2;0;0;2
130;14;11;80;29;37;7;4;6
200;45;23;86;19;63;1;8;4
60;15;12;41;12;22;2;4;4
52;17;11;45;12;29;1;0;2
97;19;15;86;18;54;3;1;9
85;17;11;60;18;39;0;2;3
91;15;14;75;23;39;4;1;9
441;62;56;355;106;209;6;13;30
19;0;0;2;0;1;0;4;1
10;2;2;10;4;4;2;0;0
68;13;10;55;14;36;0;5;4
11;8;8;11;0;11;0;0;0
2;2;2;2;0;2;0;0;0
11;3;2;7;2;4;1;1;0
267;76;67;222;50;94;28;15;42
56;7;6;27;8;12;0;1;2
21;4;0;1;0;0;0;3;1
48;1;0;2;0;2;0;9;0
64;11;1;27;10;13;1;3;3
146;35;28;102;26;67;4;11;5
335;70;43;167;41;107;3;28;13
242;59;54;195;59;108;10;3;18
1;1;0;0;0;0;0;0;0
40;10;7;27;11;10;0;0;5
13;5;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0
126;32;28;111;26;58;7;5;18
4;0;0;0;0;0;0;1;0
135;28;24;100;30;55;10;4;4
109;25;24;80;26;40;3;1;11
33;2;0;11;2;7;1;7;1
13;0;0;4;0;4;0;2;0
7;0;0;1;0;0;0;1;1
16;14;14;16;0;15;0;0;0
162;50;43;131;51;64;3;6;11
1;0;0;0;0;0;0;0;0
8;4;0;0;0;0;0;2;0
122;28;21;96;27;52;1;4;14
10;2;2;7;1;5;0;0;1
494;160;153;433;99;255;22;9;48
65;9;6;53;17;27;2;1;6
35;7;6;28;7;10;6;0;4
65;18;16;53;19;23;3;0;9
13;3;0;2;0;1;0;0;1
15;4;4;15;1;11;0;1;2
31;7;5;19;6;11;1;0;1
41;11;9;35;8;25;0;0;2
35;8;7;33;9;19;2;0;3
103;24;21;81;23;40;4;2;11
2;0;0;2;0;1;0;0;1
85;33;24;61;8;37;5;4;9
13;3;0;1;0;0;0;1;1
66;15;15;57;11;38;1;2;6
265;41;40;220;80;114;6;3;17
26;8;8;23;5;15;0;0;1
19;4;1;3;0;3;0;6;0
47;9;9;45;15;21;1;3;4
12;6;6;11;1;7;1;0;1
36;2;2;22;4;13;0;1;5
79;10;7;29;17;11;0;12;2
72;18;4;36;5;19;6;1;4
15;6;6;15;2;13;0;0;0
14;4;3;11;1;9;0;0;1
160;45;40;134;34;83;2;1;14
26;10;8;19;5;13;0;1;1
10;4;2;5;1;2;1;2;1
96;30;27;59;9;47;2;2;1
32;7;6;29;15;12;0;0;1
153;21;8;71;23;38;3;6;6
26;9;5;16;2;9;4;0;1
144;31;14;56;6;34;3;10;14
1;0;0;0;0;0;0;0;0
29;10;7;22;7;8;1;5;4
98;21;19;74;20;40;6;7;8
54;9;7;31;5;19;4;0;3
16;6;2;6;2;4;0;2;0
1;0;0;0;0;0;0;0;0
35;4;4;21;5;13;1;2;2
122;27;14;56;11;40;0;9;4
1;0;0;0;0;0;0;0;0
51;7;4;11;0;7;2;9;1
3;0;0;3;1;2;0;0;0
98;18;14;52;11;33;2;4;5
56;11;11;50;6;37;5;0;1
49;4;4;47;14;25;4;0;2
17;6;6;13;2;9;0;0;2
150;35;34;139;42;85;4;3;6
153;24;15;97;22;60;3;6;10
12;4;2;4;1;3;0;0;0
155;30;13;78;17;49;1;4;11
16;2;2;6;1;2;0;0;3
108;26;19;88;27;43;2;0;17
58;13;13;49;18;23;2;2;5
17;7;7;13;2;10;0;0;1
4;2;2;4;0;4;0;0;0
32;3;2;5;1;3;0;4;1
6;1;1;5;4;1;0;0;0
2;0;0;2;0;2;0;0;0
872;211;176;644;240;335;14;25;52
20;6;4;13;1;11;0;0;1
10;3;3;10;2;3;1;0;4
56;23;14;39;14;22;0;2;3
10;1;0;1;0;0;0;0;1
30;3;2;19;4;14;0;1;1
30;4;3;21;6;11;2;0;2
48;11;9;43;11;26;2;0;4
6;3;3;5;2;3;0;0;0
71;35;35;64;22;40;1;2;1
11;2;2;7;2;3;0;1;2
87;24;16;70;12;46;3;2;5
128;18;17;114;47;54;3;6;5
7;2;1;3;0;2;0;0;1
18;12;11;15;0;13;0;0;0
25;10;10;14;2;9;0;1;2
87;9;7;53;17;24;3;3;6
648;179;169;591;202;303;11;5;70
80;17;15;69;19;47;1;2;2
439;69;52;322;118;161;7;3;34
379;79;74;357;138;164;5;3;41
57;16;14;53;6;30;6;3;6
53;18;17;51;13;30;2;1;4
73;26;26;70;21;38;2;3;4
14;2;0;2;0;2;0;1;0
24;5;3;14;5;8;0;0;1
23;3;2;9;2;5;1;0;1
4;0;0;1;0;0;0;0;1
7;0;0;2;1;1;0;1;0
16;4;4;15;5;6;3;0;1
32;12;12;32;5;20;1;1;5
413;79;68;301;123;152;0;10;21
105;29;27;97;31;38;5;0;17
7;2;2;6;2;3;0;0;1
83;25;15;35;18;14;1;18;2
27;12;11;22;5;12;0;0;5
93;18;17;84;34;36;4;0;12
15;3;2;13;3;9;0;0;1
47;5;5;41;19;18;1;1;3
39;15;15;28;13;12;1;2;2
30;2;2;21;7;11;1;0;2
32;3;3;30;9;16;3;0;1
76;13;13;70;35;23;0;2;9
66;12;11;50;12;34;1;0;3
34;11;7;26;6;17;0;1;3
188;51;43;163;64;87;1;7;9
72;11;9;38;11;19;1;6;6
43;14;13;36;7;18;2;1;7
116;30;30;110;23;66;6;0;13
14;5;4;12;2;5;3;1;2
88;33;27;75;13;47;1;1;9
5;2;2;5;0;4;0;0;0
86;12;11;53;15;32;0;0;6
23;4;2;13;4;7;1;0;2
296;110;99;272;86;146;13;5;25
461;98;84;343;106;186;6;13;40
37;6;4;28;4;18;2;1;5
27;4;3;17;2;10;0;2;5
183;23;22;170;53;97;3;2;14
153;35;28;109;28;63;2;2;17
24;5;5;23;4;15;1;0;3
14;2;2;10;5;3;0;0;2
22;3;2;9;0;8;0;1;0
5;0;0;4;1;3;0;0;0
48;17;8;23;1;20;0;4;2
85;20;11;47;7;32;2;3;5
2;1;0;0;0;0;0;0;0
91;22;15;41;5;29;3;9;2
46;12;12;31;4;22;3;2;2
153;38;31;108;33;50;9;8;10
19;1;1;13;3;9;0;0;1
36;10;8;34;15;14;1;0;4
86;25;24;81;22;36;9;3;9
22;8;7;18;2;14;1;0;1
14;6;3;4;0;2;0;0;2
34;9;6;27;10;17;0;0;1
54;11;8;45;15;22;3;1;4
21;4;0;0;0;0;0;0;0
15;0;0;15;2;12;0;0;1
1;0;0;1;0;1;0;0;0
156;22;21;139;37;69;3;2;31
113;30;22;81;21;40;3;9;15
211;53;44;154;41;77;13;4;20
14;0;0;1;0;0;0;2;1
527;127;98;358;114;185;12;16;42
35;9;2;17;3;11;0;1;4
33;12;9;19;3;14;0;0;1
105;33;31;92;22;60;1;0;10
40;6;3;11;3;5;0;1;3
25;1;0;12;3;8;0;1;1
40;7;5;18;3;9;0;1;6
42;5;4;24;13;9;0;0;2
5;1;1;4;1;3;0;0;0
12;0;0;0;0;0;0;2;0
15;2;0;0;0;0;0;2;0
209;43;25;109;54;43;2;15;11
79;16;11;45;21;22;0;6;1
101;17;12;70;19;39;7;8;5
193;46;40;166;41;95;7;5;21
439;90;63;296;88;186;6;18;15
18;0;0;12;5;3;2;0;2
100;23;18;74;25;41;0;7;5
16;4;4;14;7;4;0;0;2
35;8;8;35;10;17;1;0;5
121;22;17;92;29;35;12;2;17
77;15;15;74;16;41;4;2;11
6;0;0;3;0;3;0;0;0
246;59;49;195;44;125;2;6;17
45;6;1;9;5;3;0;0;1
4;2;0;0;0;0;0;0;0
109;29;22;69;14;45;3;1;7
152;42;41;142;49;75;2;4;9
3;0;0;0;0;0;0;0;0
112;30;30;105;39;38;10;0;16
47;11;11;39;6;18;8;0;6
21;2;2;19;4;7;1;0;6
34;10;10;31;11;16;2;0;2
123;30;27;100;27;54;3;0;15
26;5;1;7;4;2;0;5;1
4;0;0;0;0;0;0;0;0
50;13;9;35;8;22;2;2;2
24;7;5;7;2;4;0;1;1
115;24;20;105;62;35;2;0;5
20;5;5;18;12;4;1;0;1
139;39;36;114;29;63;10;6;9
32;2;2;21;7;11;0;0;2
14;1;0;1;0;0;0;2;1
264;81;73;222;73;119;7;22;18
106;22;21;99;31;48;8;0;12
1;0;0;0;0;0;0;0;0
11;1;1;2;0;1;0;0;1
20;4;3;8;3;4;0;2;1
14;2;2;13;3;5;3;1;1
19;2;2;19;10;8;1;0;0
29;14;7;14;4;7;2;3;3
123;16;15;107;40;51;4;5;11
21;2;2;21;4;16;0;0;1
97;26;24;86;32;43;7;2;5
78;11;6;57;21;31;1;1;3
174;32;21;96;41;49;3;13;4
18;12;12;18;2;16;0;0;0
13;10;10;13;0;13;0;0;0
17;2;1;10;5;3;0;1;2
29;7;7;27;7;19;0;0;1
5;0;0;0;0;0;0;4;0
99;16;15;95;44;38;0;1;13
8;0;0;0;0;0;0;3;0
113;17;16;101;23;61;2;0;12
22;6;4;18;1;15;0;1;0
79;11;11;68;17;43;1;0;4
386;66;50;300;130;148;6;5;15
18;4;0;2;1;1;0;3;0
501;91;79;394;122;212;11;12;47
110;18;8;50;14;33;1;4;6
14;3;2;13;2;10;1;0;0
138;38;28;82;16;51;6;3;5
34;21;21;29;7;22;0;0;1
77;21;21;71;23;36;1;3;9
145;27;19;80;40;33;0;10;7
31;5;5;27;6;16;2;0;3
53;11;7;35;13;15;2;6;2
37;13;11;30;4;19;2;1;2
447;122;108;383;117;184;26;11;44
118;28;15;68;12;48;2;9;6
48;11;10;35;14;17;0;0;5
38;10;10;33;5;25;0;1;1
8;1;0;1;0;0;0;1;1
29;7;5;17;1;13;0;1;3
11;2;0;1;0;0;0;3;1
88;9;9;67;14;49;0;2;4
72;20;19;70;18;42;3;1;5
8;0;0;3;2;0;0;1;1
93;45;24;42;14;24;0;1;5
6;4;4;6;0;5;0;0;1
45;8;6;28;5;15;1;5;6
147;37;28;107;23;59;4;3;18
10;0;0;3;1;1;0;1;1
275;73;46;180;46;100;9;6;22
26;8;7;16;4;11;0;3;1
153;25;25;151;49;75;4;1;21
597;233;198;422;90;250;30;30;41
135;43;42;118;30;76;0;2;11
10;1;0;3;0;3;0;0;0
177;53;48;141;57;76;2;3;4
11;6;6;11;2;9;0;0;0
81;16;9;34;7;21;1;2;2
164;33;27;108;21;64;2;7;16
32;3;3;19;5;8;0;1;6
8;7;7;8;0;8;0;0;0
68;17;16;66;13;43;3;1;5
1;0;0;0;0;0;0;0;0
3;2;2;3;0;3;0;0;0
4;0;0;3;0;3;0;0;0
43;9;9;31;3;10;6;1;10
3;3;3;3;0;3;0;0;0
59;12;9;35;4;25;2;5;2
80;12;12;76;19;39;5;1;9
385;97;73;267;78;144;12;11;30
33;5;4;11;0;9;1;5;1
44;11;11;42;9;30;1;0;2
97;47;32;66;15;44;3;3;3
18;5;4;11;3;5;0;1;3
12;4;4;12;5;5;2;0;0
17;2;2;14;8;2;0;0;4
40;3;2;15;0;12;0;6;3
5;1;1;5;3;1;0;0;1
33;7;2;13;2;11;0;1;0
188;45;38;147;55;74;6;3;11
23;11;5;13;4;3;1;0;5
43;7;6;26;10;12;0;2;5
176;39;26;130;40;68;5;4;12
54;19;16;44;8;28;0;1;5
12;3;3;12;2;9;0;0;1
152;25;18;104;27;57;3;5;13
31;5;2;14;6;7;0;5;0
12;4;4;11;5;5;0;0;1
16;6;0;4;1;1;1;2;1
7;3;1;3;0;3;0;1;0
19;9;7;11;5;5;2;1;0
38;2;0;11;4;6;0;2;1
18;5;5;16;6;6;0;0;4
13;9;7;9;0;8;0;0;1
105;28;20;66;16;32;2;5;9
8;1;0;1;0;0;0;1;1
30;20;18;22;2;21;0;1;0
16;8;8;16;4;11;1;0;0
53;11;11;47;22;21;0;1;2
18;5;5;15;2;12;1;0;0
23;3;3;22;9;10;0;0;3
16;2;2;8;3;1;3;2;1
21;8;5;8;1;7;0;3;0
61;15;13;55;28;20;4;1;2
28;5;4;21;7;9;2;0;3
56;11;7;39;10;21;1;3;6
24;3;0;9;5;2;0;0;2
35;10;10;18;3;14;0;3;1
220;98;84;154;60;77;1;11;11
36;5;4;26;10;13;1;0;2
